214, 0.58095238095238 0.518555667001 0.138415 0.879639;
215, 0.5797619047619 0.50952858575727 0.134403 0.890672;
216, 0.49404761904762 0.47743229689067 0.1334 0.872618;
217, 0.425 0.47943831494483 0.127382 0.873621;
218, 0.42202380952381 0.48445336008024 0.111334 0.880642;
219, 0.43035714285714 0.48044132397192 0.116349 0.877633;
220, 0.43452380952381 0.47642928786359 0.122367 0.873621;
221, 0.43869047619048 0.47241725175527 0.127382 0.871615;
222, 0.43988095238095 0.46238716148445 0.130391 0.868606;
223, 0.46666666666667 0.46138415245737 0.14343 0.867603;
224, 0.55059523809524 0.47642928786359 0.345035 0.862588;
225, 0.54940476190476 0.49949849548646 0.377131 0.871615;
226, 0.53571428571429 0.5506519558676 0.322969 0.910732;
227, 0.53154761904762 0.55667001003009 0.262788 0.917753;
228, 0.525 0.56870611835507 0.231695 0.93681;
229, 0.44702380952381 0.63289869608826 0.302909 0.971916;
230, 0.3875 0.68906720160481 0.326981 0.974925;
231, 0.35952380952381 0.71414242728185 0.324975 0.971916;
232, 0.36011904761905 0.71013039117352 0.337011 0.981946;
233, 0.36369047619048 0.70812437311936 0.341023 0.985958;
234, 0.36964285714286 0.71013039117352 0.372116 0.984955;
235, 0.47142857142857 0.68806419257773 0.570712 0.944835;
236, 0.53095238095238 0.89669007021063 0.914744 0.917753;
237, 0.54702380952381 0.86659979939819 0.887663 0.857573;
238, 0.54583333333333 0.87462387161484 0.882648 0.867603;
239, 0.55357142857143 0.86359077231695 0.869609 0.857573;
240, 0.55416666666667 0.61083249749248 0.599799 0.851555;
241, 0.5077380952381 0.61183550651956 0.597793 0.845537;
242, 0.47619047619048 0.48244734202608 0.468405 0.845537;
243, 0.44464285714286 0.46138415245737 0.268806 0.865597;
244, 0.42916666666667 0.48244734202608 0.135406 0.873621;
245, 0.43154761904762 0.48746238716148 0.0822467 0.869609;
246, 0.4297619047619 0.4864593781344 0.0641926 0.870612;
247, 0.4297619047619 0.48846539618857 0.0712136 0.869609;
248, 0.4297619047619 0.4974924774323 0.0661986 0.871615;
249, 0.42857142857143 0.49448345035105 0.0762287 0.877633;
250, 0.42797619047619 0.49448345035105 0.0762287 0.877633;
251, 0.4297619047619 0.49047141424273 0.0782347 0.87663;
252, 0.43154761904762 0.4864593781344 0.0712136 0.87663;
